,Songs,Valence,Arousal,Dominance,HRV
0,LALV/945,1.0,1.0,2.32,"['71.43', '73.17', '75.00', '75.95', '75.00', '74.07', '73.17', '73.17', '73.17', '74.07', '74.07', '74.07', '73.17', '73.17', '72.29', '72.29', '71.43', '69.77', '69.77', '68.97', '68.97', '68.97', '68.18', '68.18', '68.18', '68.18', '68.18', '68.18', '68.18', '66.67', '65.93', '65.22', '65.22', '65.93', '65.93', '67.42', '67.42', '67.42', '67.42', '67.42', '67.42', '67.42']"
1,LALV/945,5.9,3.73,3.81,"['80.00', '80.00', '80.00', '81.08', '80.00', '80.00', '78.95', '77.92', '77.92', '77.92', '78.95', '78.95', '77.92', '76.92', '76.92', '75.95', '75.95', '75.95', '75.95', '75.95', '76.92', '77.92', '77.92', '76.92', '76.92', '76.92', '76.92', '76.92', '77.92', '77.92', '77.92', '77.92', '77.92', '77.92', '76.92', '76.92', '75.95', '75.95', '75.95', '75.95', '75.95', '76.92']"
2,LALV/945,9.0,2.7,7.23,"['85.71', '85.71', '85.71', '85.71', '84.51', '83.33', '83.33', '83.33', '83.33', '83.33', '83.33', '83.33', '84.51', '84.51', '84.51', '85.71', '85.71', '88.24', '88.24', '89.55', '89.55', '89.55', '90.91', '90.91', '90.91', '90.91', '90.91', '90.91', '90.91', '90.91', '92.31', '92.31', '92.31', '92.31', '90.91', '89.55', '88.24', '88.24', '83.33', '82.19', '81.08', '81.08']"
3,LALV/945,9.0,2.7,7.23,"['81.08', '81.08', '81.08', '81.08', '80.00', '80.00', '78.95', '77.92', '76.92', '76.92', '75.95', '75.95', '75.95', '75.95', '75.95', '75.95', '75.95', '75.95', '75.95', '76.92', '75.95', '75.95', '75.95', '76.92', '76.92', '76.92', '77.92', '78.95', '78.95', '78.95', '78.95', '78.95', '80.00', '80.00', '80.00', '80.00', '80.00', '80.00', '80.00', '78.95', '77.92', '76.92']"
4,LALV/945,7.62,5.0,6.89,"['73.17', '73.17', '73.17', '73.17', '73.17', '74.07', '74.07', '74.07', '71.43', '71.43', '69.77', '69.77', '69.77', '69.77', '69.77', '68.97', '68.97', '68.97', '68.97', '68.18', '66.67', '66.67', '66.67', '66.67', '68.18', '68.18', '68.97', '69.77', '69.77', '68.97', '68.97', '68.18', '67.42', '66.67', '65.93', '65.22', '65.22', '65.22', '65.22', '65.22', '65.93', '65.93']"
5,LALV/945,3.1,3.6,3.45,"['68.18', '68.18', '68.18', '68.18', '68.97', '68.97', '68.97', '68.97', '68.97', '68.18', '68.18', '66.67', '64.52', '63.83', '61.86', '61.22', '61.86', '64.52', '65.93', '67.42', '68.97', '71.43', '72.29', '73.17', '74.07', '75.00', '75.00', '75.00', '75.95', '75.95', '76.92', '76.92', '75.95', '75.00', '75.00', '74.07', '73.17', '73.17', '73.17', '73.17', '72.29', '72.29', '71.43']"
6,LALV/945,4.04,4.58,3.01,"['75.00', '75.00', '75.00', '74.07', '74.07', '74.07', '74.07', '74.07', '75.00', '75.00', '75.00', '75.00', '75.00', '75.00', '75.00', '75.00', '75.00', '75.00', '74.07', '73.17', '72.29', '72.29', '71.43', '71.43', '70.59', '70.59', '69.77', '68.97', '68.97', '68.97', '68.97', '69.77', '70.59', '70.59', '70.59', '70.59', '70.59', '71.43', '71.43', '70.59', '70.59', '70.59']"
7,LALV/945,5.0,5.0,5.0,"['92.31', '92.31', '90.91', '90.91', '89.55', '89.55', '89.55', '88.24', '86.96', '86.96', '86.96', '86.96', '88.24', '88.24', '89.55', '89.55', '90.91', '90.91', '92.31', '92.31', '92.31', '93.75', '93.75', '93.75', '93.75', '95.24', '95.24', '95.24', '95.24', '95.24', '95.24', '95.24', '95.24', '95.24', '96.77', '96.77', '96.77', '96.77', '98.36', '98.36', '96.77', '96.77']"
8,LALV/945,3.19,4.13,5.0,"['60.61', '59.41', '59.41', '60.00', '59.41', '59.41', '60.00', '60.61', '60.61', '60.00', '60.00', '60.61', '60.61', '60.61', '61.86', '62.50', '63.16', '64.52', '64.52', '64.52', '63.83', '63.83', '62.50', '61.86', '61.86', '61.86', '61.86', '62.50', '61.22', '61.22', '61.22', '61.22', '61.22', '61.22', '61.86', '61.86', '61.86', '61.22', '60.61', '60.61', '60.00', '59.41']"
9,LALV/945,5.88,3.01,5.0,"['88.24', '88.24', '88.24', '88.24', '89.55', '89.55', '89.55', '88.24', '86.96', '85.71', '85.71', '83.33', '84.51', '85.71', '85.71', '84.51', '83.33', '84.51', '85.71', '85.71', '85.71', '85.71', '86.96', '86.96', '88.24', '89.55', '89.55', '89.55', '89.55', '89.55', '90.91', '89.55', '90.91', '92.31', '92.31', '92.31', '90.91', '90.91', '89.55', '89.55', '88.24', '88.24', '89.55']"
10,LALV/945,6.67,6.64,7.64,"['107.14', '107.14', '107.14', '107.14', '107.14', '105.26', '105.26', '107.14', '107.14', '107.14', '107.14', '107.14', '109.09', '109.09', '107.14', '107.14', '107.14', '107.14', '107.14', '107.14', '107.14', '107.14', '107.14', '109.09', '109.09', '109.09', '109.09', '109.09', '109.09', '109.09', '109.09', '109.09', '107.14', '107.14', '107.14', '105.26', '105.26', '105.26', '105.26', '105.26', '107.14', '105.26', '105.26']"
11,LALV/945,4.02,3.6,5.0,"['93.75', '93.75', '93.75', '95.24', '95.24', '96.77', '96.77', '98.36', '98.36', '100.00', '100.00', '100.00', '100.00', '101.69', '101.69', '101.69', '103.45', '103.45', '101.69', '101.69', '101.69', '101.69', '103.45', '103.45', '103.45', '103.45', '103.45', '103.45', '103.45', '103.45', '103.45', '101.69', '100.00', '98.36', '98.36', '100.00', '100.00', '101.69', '101.69', '101.69', '101.69', '101.69']"
12,LALV/945,2.4,1.0,3.64,"['77.92', '76.92', '76.92', '76.92', '77.92', '77.92', '80.00', '80.00', '78.95', '77.92', '77.92', '76.92', '76.92', '76.92', '76.92', '76.92', '75.95', '75.95', '75.00', '74.07', '74.07', '73.17', '74.07', '74.07', '75.00', '75.00', '75.00', '75.00', '75.95', '75.95', '75.95', '75.95', '76.92', '77.92', '80.00', '80.00', '81.08', '81.08', '81.08', '80.00', '80.00', '80.00', '78.95']"
13,LALV/945,6.56,3.69,4.13,"['78.95', '77.92', '78.95', '78.95', '77.92', '78.95', '78.95', '78.95', '78.95', '78.95', '78.95', '77.92', '77.92', '77.92', '77.92', '77.92', '78.95', '78.95', '78.95', '78.95', '78.95', '78.95', '77.92', '77.92', '76.92', '75.95', '75.95', '75.00', '75.00', '74.07', '74.07', '75.00', '75.00', '75.00', '75.95', '75.95', '75.95', '76.92', '76.92', '76.92', '76.92', '76.92']"
14,LALV/945,6.0,1.0,5.92,"['76.92', '76.92', '76.92', '75.95', '75.95', '75.00', '74.07', '74.07', '75.00', '75.00', '74.07', '74.07', '75.00', '75.00', '75.00', '75.95', '75.00', '74.07', '73.17', '73.17', '74.07', '75.95', '75.95', '75.95', '75.95', '76.92', '76.92', '76.92', '76.92', '77.92', '77.92', '78.95', '77.92', '77.92', '78.95', '77.92', '77.92', '77.92', '77.92', '76.92', '76.92', '76.92']"
15,LALV/945,2.94,2.63,3.59,"['74.07', '73.17', '73.17', '72.29', '72.29', '72.29', '72.29', '73.17', '73.17', '73.17', '73.17', '74.07', '73.17', '73.17', '73.17', '73.17', '73.17', '73.17', '73.17', '73.17', '73.17', '73.17', '74.07', '74.07', '75.00', '75.00', '75.00', '75.00', '75.00', '74.07', '74.07', '74.07', '74.07', '75.00', '75.00', '75.00', '75.95', '75.95', '76.92', '76.92', '77.92', '77.92', '77.92']"
16,LALV/945,4.25,2.63,6.74,"['75.95', '76.92', '76.92', '76.92', '75.95', '75.95', '74.07', '74.07', '73.17', '74.07', '75.00', '75.00', '75.00', '75.00', '75.00', '75.00', '75.00', '74.07', '73.17', '73.17', '72.29', '72.29', '73.17', '74.07', '75.00', '75.95', '75.95', '75.95', '75.00', '75.00', '75.00', '75.95', '75.95', '75.95', '75.00', '75.00', '75.00', '75.00', '75.00', '75.00', '75.00', '75.95', '75.95']"
17,LALV/945,2.19,5.0,5.0,"['105.26', '105.26', '105.26', '105.26', '103.45', '103.45', '103.45', '103.45', '103.45', '103.45', '103.45', '103.45', '103.45', '103.45', '101.69', '101.69', '101.69', '101.69', '101.69', '101.69', '101.69', '101.69', '101.69', '100.00', '98.36', '98.36', '96.77', '96.77', '96.77', '96.77', '96.77', '96.77', '95.24', '95.24', '95.24', '95.24', '96.77', '96.77', '96.77', '96.77', '96.77', '96.77', '98.36']"
18,LALV/945,6.78,0.66,7.56,"['68.97', '69.77', '71.43', '72.29', '73.17', '74.07', '74.07', '73.17', '71.43', '71.43', '68.97', '68.97', '68.18', '68.18', '67.42', '66.67', '66.67', '66.67', '66.67', '67.42', '67.42', '68.18', '68.97', '68.97', '68.97', '68.18', '67.42', '67.42', '68.97', '70.59', '71.43', '71.43', '72.29', '72.29', '72.29', '72.29', '71.43', '70.59', '70.59', '71.43', '71.43', '71.43', '71.43']"
19,LALV/945,7.24,6.98,7.06,"['61.22', '61.22', '61.22', '61.22', '60.61', '60.61', '60.00', '59.41', '59.41', '58.82', '60.00', '60.61', '60.61', '60.61', '61.22', '64.52', '66.67', '66.67', '65.93', '64.52', '63.16', '61.86', '61.22', '60.61', '61.22', '66.67', '74.07', '75.00', '75.00', '75.00', '73.17', '72.29', '72.29', '70.59', '69.77', '69.77', '69.77', '69.77', '69.77', '68.97', '67.42', '66.67', '65.22']"
20,LALV/945,1.35,2.32,1.0,"['75.95', '75.95', '75.95', '75.00', '75.00', '74.07', '73.17', '73.17', '72.29', '72.29', '72.29', '71.43', '71.43', '71.43', '72.29', '72.29', '72.29', '73.17', '73.17', '73.17', '73.17', '72.29', '72.29', '73.17', '73.17', '73.17', '73.17', '73.17', '73.17', '73.17', '73.17', '74.07', '74.07', '73.17', '73.17', '73.17', '72.29', '72.29', '73.17', '73.17', '74.07', '75.00']"
21,LALV/945,5.87,3.64,5.66,"['85.71', '85.71', '85.71', '85.71', '85.71', '85.71', '85.71', '85.71', '85.71', '85.71', '85.71', '84.51', '84.51', '84.51', '84.51', '84.51', '84.51', '84.51', '85.71', '85.71', '85.71', '86.96', '86.96', '86.96', '85.71', '85.71', '85.71', '85.71', '85.71', '85.71', '85.71', '85.71', '86.96', '86.96', '86.96', '86.96', '86.96', '86.96', '86.96', '85.71', '85.71', '85.71']"
22,LALV/945,2.18,5.0,5.0,"['64.52', '64.52', '65.93', '65.22', '65.22', '65.22', '64.52', '63.83', '63.83', '63.83', '64.52', '65.22', '65.93', '66.67', '67.42', '67.42', '67.42', '67.42', '67.42', '67.42', '67.42', '67.42', '68.18', '67.42', '67.42', '66.67', '66.67', '67.42', '67.42', '68.97', '68.97', '69.77', '69.77', '69.77', '68.97', '68.97', '68.18', '67.42', '68.18', '68.18', '68.97', '68.97']"
23,LALV/945,5.0,5.0,5.0,"['82.19', '82.19', '81.08', '81.08', '80.00', '81.08', '81.08', '80.00', '78.95', '78.95', '78.95', '77.92', '78.95', '80.00', '80.00', '80.00', '81.08', '81.08', '81.08', '82.19', '83.33', '83.33', '83.33', '83.33', '84.51', '84.51', '84.51', '84.51', '83.33', '82.19', '82.19', '81.08', '81.08', '83.33', '82.19', '82.19', '82.19', '82.19', '81.08', '81.08', '81.08', '81.08', '81.08']"
24,LALV/945,2.99,6.98,6.13,"['95.24', '95.24', '96.77', '96.77', '96.77', '98.36', '98.36', '98.36', '98.36', '100.00', '100.00', '100.00', '100.00', '100.00', '100.00', '100.00', '100.00', '100.00', '100.00', '101.69', '101.69', '101.69', '103.45', '103.45', '103.45', '103.45', '103.45', '105.26', '105.26', '105.26', '105.26', '105.26', '105.26', '105.26', '105.26', '105.26', '107.14', '107.14', '107.14', '107.14', '107.14', '107.14', '107.14']"
25,LALV/945,7.41,1.43,4.97,"['71.43', '70.59', '70.59', '69.77', '68.97', '68.97', '68.97', '69.77', '71.43', '74.07', '75.00', '75.00', '76.92', '78.95', '78.95', '76.92', '75.95', '75.00', '75.00', '75.00', '75.00', '75.00', '75.95', '75.95', '76.92', '76.92', '76.92', '75.95', '75.00', '75.00', '75.00', '74.07', '74.07', '74.07', '74.07', '73.17', '72.29', '72.29', '71.43', '71.43', '71.43', '72.29', '72.29']"
